cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,53521
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,400
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,789
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,332
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,639
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,104507
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,1642
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,269
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,2165
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,778
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,520
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,6,PARTIDO ANTICORRUPCION,409
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,290130
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,1293
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),675
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Blanco,BLC,Voto en BLANCO,6195
PRE,HN.5,Distrito,CORTES,464264,19607,59.7218,85.1208,483871,2021-12-04 22:45:01,Especial,NUL,Votos NULOS,19607
