cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,1,PARTIDO LIBERAL DE HONDURAS,12226
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,69
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,149
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,161
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,14,PARTIDO TODOS SOMOS HONDURAS,59
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,2,PARTIDO NACIONAL DE HONDURAS,68486
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,181
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,52
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,47,MILTON BENITEZ HONDURAS HUMANA,160
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,77
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,271
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,6,PARTIDO ANTICORRUPCION,85
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,83854
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,153
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),357
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Blanco,BLC,Voto en BLANCO,3640
PRE,HN.6,Distrito,CHOLUTECA,169980,6698,74.7087,80.4947,176678,2021-12-04 21:45:02,Especial,NUL,Votos NULOS,6698
