JRV,PRESJRV
HN.5.1.1.15.3532_DIP,HN.5.1.1.15.3532
NA,NA
NA,NA
HN.5.1.1.15.3535_DIP,HN.5.1.1.15.3535
HN.5.1.1.15.3536_DIP,HN.5.1.1.15.3536
HN.5.1.1.15.3537_DIP,HN.5.1.1.15.3537
HN.5.1.1.15.3538_DIP,HN.5.1.1.15.3538
NA,NA
HN.5.1.1.15.3540_DIP,HN.5.1.1.15.3540
HN.5.1.1.15.3541_DIP,HN.5.1.1.15.3541
NA,NA
HN.5.1.1.15.3543_DIP,HN.5.1.1.15.3543
HN.5.1.1.15.3544_DIP,HN.5.1.1.15.3544
HN.5.1.1.15.3545_DIP,HN.5.1.1.15.3545
HN.5.1.1.195.4230_DIP,HN.5.1.1.195.4230
HN.5.1.1.195.4231_DIP,HN.5.1.1.195.4231
NA,NA
HN.5.1.1.195.4233_DIP,HN.5.1.1.195.4233
HN.5.1.1.195.4234_DIP,HN.5.1.1.195.4234
NA,NA
HN.5.1.1.195.4236_DIP,HN.5.1.1.195.4236
HN.5.1.1.195.4237_DIP,HN.5.1.1.195.4237
HN.5.1.1.195.4238_DIP,HN.5.1.1.195.4238
HN.5.1.1.195.4239_DIP,HN.5.1.1.195.4239
HN.5.1.1.195.4240_DIP,HN.5.1.1.195.4240
HN.5.1.1.195.4241_DIP,HN.5.1.1.195.4241
HN.5.1.1.195.4242_DIP,HN.5.1.1.195.4242
HN.5.1.1.195.4243_DIP,HN.5.1.1.195.4243
NA,NA
HN.5.1.1.195.4245_DIP,HN.5.1.1.195.4245
HN.5.1.1.195.4246_DIP,HN.5.1.1.195.4246
HN.5.1.1.195.4247_DIP,HN.5.1.1.195.4247
NA,NA
HN.5.1.1.195.4249_DIP,HN.5.1.1.195.4249
NA,NA
HN.5.1.1.195.4251_DIP,HN.5.1.1.195.4251
HN.5.1.1.195.4252_DIP,HN.5.1.1.195.4252
HN.5.1.1.195.4253_DIP,HN.5.1.1.195.4253
NA,NA
HN.5.1.1.195.4255_DIP,HN.5.1.1.195.4255
HN.5.1.1.195.4256_DIP,HN.5.1.1.195.4256
HN.5.1.1.195.4257_DIP,HN.5.1.1.195.4257
NA,NA
HN.5.1.1.24.3571_DIP,HN.5.1.1.24.3571
HN.5.1.1.24.3572_DIP,HN.5.1.1.24.3572
NA,NA
HN.5.1.1.24.3574_DIP,HN.5.1.1.24.3574
HN.5.1.1.24.3575_DIP,HN.5.1.1.24.3575
NA,NA
HN.5.1.1.71.3770_DIP,HN.5.1.1.71.3770
HN.5.1.1.71.3771_DIP,HN.5.1.1.71.3771
HN.5.1.1.330.4811_DIP,HN.5.1.1.330.4811
HN.5.1.1.330.4812_DIP,HN.5.1.1.330.4812
HN.5.1.1.330.4813_DIP,HN.5.1.1.330.4813
NA,NA
HN.5.1.1.169.4078_DIP,HN.5.1.1.169.4078
NA,NA
HN.5.1.1.169.4080_DIP,HN.5.1.1.169.4080
HN.5.1.1.169.4081_DIP,HN.5.1.1.169.4081
HN.5.1.1.169.4082_DIP,HN.5.1.1.169.4082
HN.5.1.1.169.4083_DIP,HN.5.1.1.169.4083
HN.5.1.1.169.4084_DIP,HN.5.1.1.169.4084
HN.5.1.1.169.4085_DIP,HN.5.1.1.169.4085
HN.5.1.1.169.4086_DIP,HN.5.1.1.169.4086
HN.5.1.1.169.4087_DIP,HN.5.1.1.169.4087
HN.5.1.1.169.4088_DIP,HN.5.1.1.169.4088
NA,NA
NA,NA
HN.5.1.1.169.4091_DIP,HN.5.1.1.169.4091
NA,NA
HN.5.1.1.169.4093_DIP,HN.5.1.1.169.4093
NA,NA
HN.5.1.1.169.4095_DIP,HN.5.1.1.169.4095
HN.5.1.1.169.4096_DIP,HN.5.1.1.169.4096
HN.5.1.1.169.4097_DIP,HN.5.1.1.169.4097
HN.5.1.1.52.3680_DIP,HN.5.1.1.52.3680
NA,NA
HN.5.1.1.52.3682_DIP,HN.5.1.1.52.3682
HN.5.1.1.52.3683_DIP,HN.5.1.1.52.3683
HN.5.1.1.52.3684_DIP,HN.5.1.1.52.3684
HN.5.1.1.52.3685_DIP,HN.5.1.1.52.3685
HN.5.1.1.52.3686_DIP,HN.5.1.1.52.3686
HN.5.1.1.52.3687_DIP,HN.5.1.1.52.3687
HN.5.1.1.52.3688_DIP,HN.5.1.1.52.3688
NA,NA
HN.5.1.1.52.3690_DIP,HN.5.1.1.52.3690
NA,NA
HN.5.1.1.52.3692_DIP,HN.5.1.1.52.3692
NA,NA
NA,NA
HN.5.1.1.52.3695_DIP,HN.5.1.1.52.3695
NA,NA
HN.5.1.1.52.3697_DIP,HN.5.1.1.52.3697
HN.5.1.1.52.3698_DIP,HN.5.1.1.52.3698
HN.5.1.1.81.3784_DIP,HN.5.1.1.81.3784
HN.5.1.1.81.3785_DIP,HN.5.1.1.81.3785
HN.5.1.1.81.3786_DIP,HN.5.1.1.81.3786
HN.5.1.1.81.3787_DIP,HN.5.1.1.81.3787
NA,NA
NA,NA
HN.5.1.1.81.3790_DIP,HN.5.1.1.81.3790
HN.5.1.1.81.3791_DIP,HN.5.1.1.81.3791
HN.5.1.1.81.3792_DIP,HN.5.1.1.81.3792
HN.5.1.1.81.3793_DIP,HN.5.1.1.81.3793
NA,NA
HN.5.1.1.81.3795_DIP,HN.5.1.1.81.3795
HN.5.1.1.81.3796_DIP,HN.5.1.1.81.3796
NA,NA
HN.5.1.1.81.3798_DIP,HN.5.1.1.81.3798
HN.5.1.1.276.4619_DIP,HN.5.1.1.276.4619
HN.5.1.1.276.4620_DIP,HN.5.1.1.276.4620
HN.5.1.1.276.4621_DIP,HN.5.1.1.276.4621
HN.5.1.1.276.4622_DIP,HN.5.1.1.276.4622
HN.5.1.1.276.4623_DIP,HN.5.1.1.276.4623
HN.5.1.1.276.4624_DIP,HN.5.1.1.276.4624
HN.5.1.1.276.4625_DIP,HN.5.1.1.276.4625
HN.5.1.1.276.4626_DIP,HN.5.1.1.276.4626
NA,NA
HN.5.1.1.235.4426_DIP,HN.5.1.1.235.4426
HN.5.1.1.235.4427_DIP,HN.5.1.1.235.4427
HN.5.1.1.235.4428_DIP,HN.5.1.1.235.4428
HN.5.1.1.235.4429_DIP,HN.5.1.1.235.4429
HN.5.1.1.235.4430_DIP,HN.5.1.1.235.4430
HN.5.1.1.251.4472_DIP,HN.5.1.1.251.4472
NA,NA
NA,NA
HN.5.1.1.251.4475_DIP,HN.5.1.1.251.4475
HN.5.1.1.251.4476_DIP,HN.5.1.1.251.4476
NA,NA
HN.5.1.1.251.4478_DIP,HN.5.1.1.251.4478
HN.5.1.1.251.4479_DIP,HN.5.1.1.251.4479
NA,NA
HN.5.1.1.251.4481_DIP,HN.5.1.1.251.4481
NA,NA
HN.5.1.1.251.4483_DIP,HN.5.1.1.251.4483
HN.5.1.1.251.4484_DIP,HN.5.1.1.251.4484
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.251.4489_DIP,HN.5.1.1.251.4489
NA,NA
NA,NA
HN.5.1.1.251.4492_DIP,HN.5.1.1.251.4492
NA,NA
NA,NA
HN.5.1.1.251.4495_DIP,HN.5.1.1.251.4495
NA,NA
NA,NA
HN.5.1.1.251.4498_DIP,HN.5.1.1.251.4498
HN.5.1.1.251.4499_DIP,HN.5.1.1.251.4499
HN.5.1.1.251.4500_DIP,HN.5.1.1.251.4500
NA,NA
HN.5.1.1.251.4502_DIP,HN.5.1.1.251.4502
HN.5.1.1.251.4503_DIP,HN.5.1.1.251.4503
HN.5.1.1.251.4504_DIP,HN.5.1.1.251.4504
NA,NA
NA,NA
HN.5.1.1.251.4507_DIP,HN.5.1.1.251.4507
NA,NA
NA,NA
HN.5.1.1.251.4510_DIP,HN.5.1.1.251.4510
NA,NA
HN.5.1.1.251.4512_DIP,HN.5.1.1.251.4512
NA,NA
NA,NA
HN.5.1.1.251.4515_DIP,HN.5.1.1.251.4515
HN.5.1.1.251.4516_DIP,HN.5.1.1.251.4516
HN.5.1.1.251.4517_DIP,HN.5.1.1.251.4517
HN.5.1.1.10.3499_DIP,HN.5.1.1.10.3499
HN.5.1.1.10.3500_DIP,HN.5.1.1.10.3500
HN.5.1.1.10.3501_DIP,HN.5.1.1.10.3501
HN.5.1.1.10.3502_DIP,HN.5.1.1.10.3502
HN.5.1.1.10.3503_DIP,HN.5.1.1.10.3503
HN.5.1.1.10.3504_DIP,HN.5.1.1.10.3504
HN.5.1.1.10.3505_DIP,HN.5.1.1.10.3505
HN.5.1.1.10.3506_DIP,HN.5.1.1.10.3506
NA,NA
HN.5.1.1.33.3596_DIP,HN.5.1.1.33.3596
HN.5.1.1.33.3597_DIP,HN.5.1.1.33.3597
HN.5.1.1.33.3598_DIP,HN.5.1.1.33.3598
HN.5.1.1.33.3599_DIP,HN.5.1.1.33.3599
HN.5.1.1.43.3640_DIP,HN.5.1.1.43.3640
NA,NA
HN.5.1.1.43.3642_DIP,HN.5.1.1.43.3642
NA,NA
HN.5.1.1.43.3644_DIP,HN.5.1.1.43.3644
NA,NA
HN.5.1.1.43.3646_DIP,HN.5.1.1.43.3646
HN.5.1.1.43.3647_DIP,HN.5.1.1.43.3647
HN.5.1.1.43.3648_DIP,HN.5.1.1.43.3648
HN.5.1.1.43.3649_DIP,HN.5.1.1.43.3649
HN.5.1.1.43.3650_DIP,HN.5.1.1.43.3650
NA,NA
HN.5.1.1.43.3652_DIP,HN.5.1.1.43.3652
HN.5.1.1.43.3653_DIP,HN.5.1.1.43.3653
HN.5.1.1.43.3654_DIP,HN.5.1.1.43.3654
HN.5.1.1.43.3655_DIP,HN.5.1.1.43.3655
HN.5.1.1.43.3656_DIP,HN.5.1.1.43.3656
HN.5.1.1.43.3657_DIP,HN.5.1.1.43.3657
HN.5.1.1.185.4170_DIP,HN.5.1.1.185.4170
HN.5.1.1.185.4171_DIP,HN.5.1.1.185.4171
HN.5.1.1.185.4172_DIP,HN.5.1.1.185.4172
HN.5.1.1.185.4173_DIP,HN.5.1.1.185.4173
NA,NA
HN.5.1.1.185.4175_DIP,HN.5.1.1.185.4175
NA,NA
NA,NA
HN.5.1.1.185.4178_DIP,HN.5.1.1.185.4178
HN.5.1.1.185.4179_DIP,HN.5.1.1.185.4179
NA,NA
HN.5.1.1.185.4181_DIP,HN.5.1.1.185.4181
NA,NA
HN.5.1.1.185.4183_DIP,HN.5.1.1.185.4183
HN.5.1.1.185.4184_DIP,HN.5.1.1.185.4184
HN.5.1.1.185.4185_DIP,HN.5.1.1.185.4185
NA,NA
HN.5.1.1.185.4187_DIP,HN.5.1.1.185.4187
HN.5.1.1.336.4829_DIP,HN.5.1.1.336.4829
HN.5.1.1.336.4830_DIP,HN.5.1.1.336.4830
HN.5.1.1.66.3727_DIP,HN.5.1.1.66.3727
HN.5.1.1.66.3728_DIP,HN.5.1.1.66.3728
HN.5.1.1.66.3729_DIP,HN.5.1.1.66.3729
HN.5.1.1.66.3730_DIP,HN.5.1.1.66.3730
NA,NA
HN.5.1.1.66.3732_DIP,HN.5.1.1.66.3732
HN.5.1.1.66.3733_DIP,HN.5.1.1.66.3733
HN.5.1.1.66.3734_DIP,HN.5.1.1.66.3734
NA,NA
HN.5.1.1.66.3736_DIP,HN.5.1.1.66.3736
NA,NA
HN.5.1.1.66.3738_DIP,HN.5.1.1.66.3738
NA,NA
HN.5.1.1.66.3740_DIP,HN.5.1.1.66.3740
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.26.3582_DIP,HN.5.1.1.26.3582
NA,NA
NA,NA
HN.5.1.1.178.4120_DIP,HN.5.1.1.178.4120
HN.5.1.1.178.4121_DIP,HN.5.1.1.178.4121
HN.5.1.1.178.4122_DIP,HN.5.1.1.178.4122
HN.5.1.1.178.4123_DIP,HN.5.1.1.178.4123
HN.5.1.1.178.4124_DIP,HN.5.1.1.178.4124
HN.5.1.1.178.4125_DIP,HN.5.1.1.178.4125
HN.5.1.1.178.4126_DIP,HN.5.1.1.178.4126
HN.5.1.1.178.4127_DIP,HN.5.1.1.178.4127
NA,NA
HN.5.1.1.178.4129_DIP,HN.5.1.1.178.4129
HN.5.1.1.178.4130_DIP,HN.5.1.1.178.4130
HN.5.1.1.178.4131_DIP,HN.5.1.1.178.4131
HN.5.1.1.178.4132_DIP,HN.5.1.1.178.4132
HN.5.1.1.178.4133_DIP,HN.5.1.1.178.4133
HN.5.1.1.178.4134_DIP,HN.5.1.1.178.4134
HN.5.1.1.178.4135_DIP,HN.5.1.1.178.4135
HN.5.1.1.214.4312_DIP,HN.5.1.1.214.4312
HN.5.1.1.214.4313_DIP,HN.5.1.1.214.4313
HN.5.1.1.214.4314_DIP,HN.5.1.1.214.4314
HN.5.1.1.214.4315_DIP,HN.5.1.1.214.4315
HN.5.1.1.214.4316_DIP,HN.5.1.1.214.4316
HN.5.1.1.214.4317_DIP,HN.5.1.1.214.4317
HN.5.1.1.214.4318_DIP,HN.5.1.1.214.4318
NA,NA
HN.5.1.1.214.4320_DIP,HN.5.1.1.214.4320
HN.5.1.1.214.4321_DIP,HN.5.1.1.214.4321
HN.5.1.1.214.4322_DIP,HN.5.1.1.214.4322
HN.5.1.1.214.4323_DIP,HN.5.1.1.214.4323
HN.5.1.1.214.4324_DIP,HN.5.1.1.214.4324
NA,NA
HN.5.1.1.214.4326_DIP,HN.5.1.1.214.4326
NA,NA
NA,NA
HN.5.1.1.99.3841_DIP,HN.5.1.1.99.3841
HN.5.1.1.99.3842_DIP,HN.5.1.1.99.3842
HN.5.1.1.99.3843_DIP,HN.5.1.1.99.3843
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.333.4817_DIP,HN.5.1.1.333.4817
HN.5.1.1.333.4818_DIP,HN.5.1.1.333.4818
HN.5.1.1.333.4819_DIP,HN.5.1.1.333.4819
HN.5.1.1.333.4820_DIP,HN.5.1.1.333.4820
HN.5.1.1.259.4548_DIP,HN.5.1.1.259.4548
HN.5.1.1.259.4549_DIP,HN.5.1.1.259.4549
HN.5.1.1.259.4550_DIP,HN.5.1.1.259.4550
NA,NA
HN.5.1.1.259.4552_DIP,HN.5.1.1.259.4552
HN.5.1.1.337.4831_DIP,HN.5.1.1.337.4831
NA,NA
HN.5.1.1.337.4833_DIP,HN.5.1.1.337.4833
HN.5.1.1.337.4834_DIP,HN.5.1.1.337.4834
HN.5.1.1.337.4835_DIP,HN.5.1.1.337.4835
HN.5.1.1.337.4836_DIP,HN.5.1.1.337.4836
HN.5.1.1.337.4837_DIP,HN.5.1.1.337.4837
NA,NA
HN.5.1.1.329.4808_DIP,HN.5.1.1.329.4808
HN.5.1.1.329.4809_DIP,HN.5.1.1.329.4809
NA,NA
HN.5.1.1.206.4289_DIP,HN.5.1.1.206.4289
HN.5.1.1.206.4290_DIP,HN.5.1.1.206.4290
HN.5.1.1.206.4291_DIP,HN.5.1.1.206.4291
HN.5.1.1.203.4262_DIP,HN.5.1.1.203.4262
HN.5.1.1.203.4263_DIP,HN.5.1.1.203.4263
HN.5.1.1.203.4264_DIP,HN.5.1.1.203.4264
NA,NA
HN.5.1.1.203.4266_DIP,HN.5.1.1.203.4266
HN.5.1.1.203.4267_DIP,HN.5.1.1.203.4267
HN.5.1.1.203.4268_DIP,HN.5.1.1.203.4268
HN.5.1.1.203.4269_DIP,HN.5.1.1.203.4269
NA,NA
NA,NA
HN.5.1.1.203.4272_DIP,HN.5.1.1.203.4272
HN.5.1.1.203.4273_DIP,HN.5.1.1.203.4273
HN.5.1.1.203.4274_DIP,HN.5.1.1.203.4274
HN.5.1.1.203.4275_DIP,HN.5.1.1.203.4275
HN.5.1.1.203.4276_DIP,HN.5.1.1.203.4276
HN.5.1.1.203.4277_DIP,HN.5.1.1.203.4277
NA,NA
HN.5.1.1.203.4279_DIP,HN.5.1.1.203.4279
NA,NA
HN.5.1.1.203.4281_DIP,HN.5.1.1.203.4281
HN.5.1.1.203.4282_DIP,HN.5.1.1.203.4282
HN.5.1.1.203.4283_DIP,HN.5.1.1.203.4283
HN.5.1.1.203.4284_DIP,HN.5.1.1.203.4284
NA,NA
NA,NA
HN.5.1.1.203.4287_DIP,HN.5.1.1.203.4287
HN.5.1.1.203.4288_DIP,HN.5.1.1.203.4288
HN.5.1.1.109.3859_DIP,HN.5.1.1.109.3859
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.109.3865_DIP,HN.5.1.1.109.3865
HN.5.1.1.109.3866_DIP,HN.5.1.1.109.3866
NA,NA
NA,NA
NA,NA
HN.5.1.1.260.4553_DIP,HN.5.1.1.260.4553
HN.5.1.1.260.4554_DIP,HN.5.1.1.260.4554
NA,NA
NA,NA
HN.5.1.1.260.4557_DIP,HN.5.1.1.260.4557
HN.5.1.1.260.4558_DIP,HN.5.1.1.260.4558
HN.5.1.1.272.4595_DIP,HN.5.1.1.272.4595
HN.5.1.1.272.4596_DIP,HN.5.1.1.272.4596
HN.5.1.1.272.4597_DIP,HN.5.1.1.272.4597
HN.5.1.1.272.4598_DIP,HN.5.1.1.272.4598
HN.5.1.1.8.3479_DIP,HN.5.1.1.8.3479
HN.5.1.1.8.3480_DIP,HN.5.1.1.8.3480
HN.5.1.1.8.3481_DIP,HN.5.1.1.8.3481
NA,NA
NA,NA
HN.5.1.1.8.3484_DIP,HN.5.1.1.8.3484
HN.5.1.1.8.3485_DIP,HN.5.1.1.8.3485
HN.5.1.1.8.3486_DIP,HN.5.1.1.8.3486
HN.5.1.1.8.3487_DIP,HN.5.1.1.8.3487
HN.5.1.1.8.3488_DIP,HN.5.1.1.8.3488
HN.5.1.1.8.3489_DIP,HN.5.1.1.8.3489
HN.5.1.1.8.3490_DIP,HN.5.1.1.8.3490
HN.5.1.1.8.3491_DIP,HN.5.1.1.8.3491
NA,NA
HN.5.1.1.8.3493_DIP,HN.5.1.1.8.3493
HN.5.1.1.8.3494_DIP,HN.5.1.1.8.3494
HN.5.1.1.8.3495_DIP,HN.5.1.1.8.3495
HN.5.1.1.8.3496_DIP,HN.5.1.1.8.3496
HN.5.1.1.8.3497_DIP,HN.5.1.1.8.3497
HN.5.1.1.8.3498_DIP,HN.5.1.1.8.3498
HN.5.1.1.89.3813_DIP,HN.5.1.1.89.3813
HN.5.1.1.89.3814_DIP,HN.5.1.1.89.3814
HN.5.1.1.89.3815_DIP,HN.5.1.1.89.3815
HN.5.1.1.89.3816_DIP,HN.5.1.1.89.3816
HN.5.1.1.89.3817_DIP,HN.5.1.1.89.3817
HN.5.1.1.89.3818_DIP,HN.5.1.1.89.3818
HN.5.1.1.89.3819_DIP,HN.5.1.1.89.3819
HN.5.1.1.89.3820_DIP,HN.5.1.1.89.3820
HN.5.1.1.89.3821_DIP,HN.5.1.1.89.3821
HN.5.1.1.89.3822_DIP,HN.5.1.1.89.3822
HN.5.1.1.224.4356_DIP,HN.5.1.1.224.4356
HN.5.1.1.224.4357_DIP,HN.5.1.1.224.4357
NA,NA
HN.5.1.1.224.4359_DIP,HN.5.1.1.224.4359
HN.5.1.1.224.4360_DIP,HN.5.1.1.224.4360
HN.5.1.1.224.4361_DIP,HN.5.1.1.224.4361
NA,NA
HN.5.1.1.224.4363_DIP,HN.5.1.1.224.4363
NA,NA
NA,NA
HN.5.1.1.224.4366_DIP,HN.5.1.1.224.4366
HN.5.1.1.224.4367_DIP,HN.5.1.1.224.4367
NA,NA
NA,NA
HN.5.1.1.224.4370_DIP,HN.5.1.1.224.4370
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.224.4375_DIP,HN.5.1.1.224.4375
HN.5.1.1.224.4376_DIP,HN.5.1.1.224.4376
NA,NA
HN.5.1.1.224.4378_DIP,HN.5.1.1.224.4378
HN.5.1.1.224.4379_DIP,HN.5.1.1.224.4379
HN.5.1.1.224.4380_DIP,HN.5.1.1.224.4380
HN.5.1.1.224.4381_DIP,HN.5.1.1.224.4381
HN.5.1.1.224.4382_DIP,HN.5.1.1.224.4382
HN.5.1.1.224.4383_DIP,HN.5.1.1.224.4383
NA,NA
HN.5.1.1.224.4385_DIP,HN.5.1.1.224.4385
NA,NA
HN.5.1.1.224.4387_DIP,HN.5.1.1.224.4387
HN.5.1.1.224.4388_DIP,HN.5.1.1.224.4388
NA,NA
HN.5.1.1.289.4644_DIP,HN.5.1.1.289.4644
HN.5.1.1.289.4645_DIP,HN.5.1.1.289.4645
HN.5.1.1.289.4646_DIP,HN.5.1.1.289.4646
HN.5.1.1.289.4647_DIP,HN.5.1.1.289.4647
HN.5.1.1.289.4648_DIP,HN.5.1.1.289.4648
NA,NA
HN.5.1.1.289.4650_DIP,HN.5.1.1.289.4650
HN.5.1.1.289.4651_DIP,HN.5.1.1.289.4651
HN.5.1.1.289.4652_DIP,HN.5.1.1.289.4652
NA,NA
HN.5.1.1.289.4654_DIP,HN.5.1.1.289.4654
HN.5.1.1.289.4655_DIP,HN.5.1.1.289.4655
NA,NA
HN.5.1.1.289.4657_DIP,HN.5.1.1.289.4657
HN.5.1.1.289.4658_DIP,HN.5.1.1.289.4658
HN.5.1.1.289.4659_DIP,HN.5.1.1.289.4659
HN.5.1.1.289.4660_DIP,HN.5.1.1.289.4660
NA,NA
HN.5.1.1.261.4560_DIP,HN.5.1.1.261.4560
HN.5.1.1.261.4561_DIP,HN.5.1.1.261.4561
NA,NA
NA,NA
HN.5.1.1.261.4564_DIP,HN.5.1.1.261.4564
HN.5.1.1.261.4565_DIP,HN.5.1.1.261.4565
HN.5.1.1.261.4566_DIP,HN.5.1.1.261.4566
NA,NA
NA,NA
NA,NA
HN.5.1.1.160.4074_DIP,HN.5.1.1.160.4074
NA,NA
NA,NA
HN.5.1.1.268.4581_DIP,HN.5.1.1.268.4581
HN.5.1.1.268.4582_DIP,HN.5.1.1.268.4582
NA,NA
HN.5.1.1.142.3982_DIP,HN.5.1.1.142.3982
HN.5.1.1.142.3983_DIP,HN.5.1.1.142.3983
HN.5.1.1.133.3944_DIP,HN.5.1.1.133.3944
HN.5.1.1.133.3945_DIP,HN.5.1.1.133.3945
NA,NA
HN.5.1.1.133.3947_DIP,HN.5.1.1.133.3947
HN.5.1.1.133.3948_DIP,HN.5.1.1.133.3948
HN.5.1.1.133.3949_DIP,HN.5.1.1.133.3949
HN.5.1.1.133.3950_DIP,HN.5.1.1.133.3950
HN.5.1.1.133.3951_DIP,HN.5.1.1.133.3951
HN.5.1.1.133.3952_DIP,HN.5.1.1.133.3952
HN.5.1.1.133.3953_DIP,HN.5.1.1.133.3953
HN.5.1.1.133.3954_DIP,HN.5.1.1.133.3954
NA,NA
NA,NA
HN.5.1.1.133.3957_DIP,HN.5.1.1.133.3957
HN.5.1.1.133.3958_DIP,HN.5.1.1.133.3958
HN.5.1.1.133.3959_DIP,HN.5.1.1.133.3959
NA,NA
HN.5.1.1.133.3961_DIP,HN.5.1.1.133.3961
HN.5.1.1.133.3962_DIP,HN.5.1.1.133.3962
HN.5.1.1.133.3963_DIP,HN.5.1.1.133.3963
HN.5.1.1.133.3964_DIP,HN.5.1.1.133.3964
HN.5.1.1.133.3965_DIP,HN.5.1.1.133.3965
HN.5.1.1.133.3966_DIP,HN.5.1.1.133.3966
HN.5.1.1.133.3967_DIP,HN.5.1.1.133.3967
HN.5.1.1.133.3968_DIP,HN.5.1.1.133.3968
HN.5.1.1.133.3969_DIP,HN.5.1.1.133.3969
HN.5.1.1.133.3970_DIP,HN.5.1.1.133.3970
NA,NA
HN.5.1.1.173.4098_DIP,HN.5.1.1.173.4098
NA,NA
HN.5.1.1.173.4100_DIP,HN.5.1.1.173.4100
HN.5.1.1.173.4101_DIP,HN.5.1.1.173.4101
HN.5.1.1.173.4102_DIP,HN.5.1.1.173.4102
HN.5.1.1.173.4103_DIP,HN.5.1.1.173.4103
NA,NA
HN.5.1.1.173.4105_DIP,HN.5.1.1.173.4105
HN.5.1.1.173.4106_DIP,HN.5.1.1.173.4106
HN.5.1.1.173.4107_DIP,HN.5.1.1.173.4107
HN.5.1.1.173.4108_DIP,HN.5.1.1.173.4108
HN.5.1.1.173.4109_DIP,HN.5.1.1.173.4109
HN.5.1.1.173.4110_DIP,HN.5.1.1.173.4110
HN.5.1.1.284.4629_DIP,HN.5.1.1.284.4629
HN.5.1.1.284.4630_DIP,HN.5.1.1.284.4630
HN.5.1.1.284.4631_DIP,HN.5.1.1.284.4631
HN.5.1.1.284.4632_DIP,HN.5.1.1.284.4632
HN.5.1.1.284.4633_DIP,HN.5.1.1.284.4633
HN.5.1.1.284.4634_DIP,HN.5.1.1.284.4634
NA,NA
HN.5.1.1.284.4636_DIP,HN.5.1.1.284.4636
HN.5.1.1.284.4637_DIP,HN.5.1.1.284.4637
HN.5.1.1.284.4638_DIP,HN.5.1.1.284.4638
HN.5.1.1.284.4639_DIP,HN.5.1.1.284.4639
HN.5.1.1.284.4640_DIP,HN.5.1.1.284.4640
HN.5.1.1.211.4292_DIP,HN.5.1.1.211.4292
NA,NA
HN.5.1.1.211.4294_DIP,HN.5.1.1.211.4294
HN.5.1.1.211.4295_DIP,HN.5.1.1.211.4295
HN.5.1.1.211.4296_DIP,HN.5.1.1.211.4296
NA,NA
HN.5.1.1.211.4298_DIP,HN.5.1.1.211.4298
HN.5.1.1.211.4299_DIP,HN.5.1.1.211.4299
HN.5.1.1.211.4300_DIP,HN.5.1.1.211.4300
HN.5.1.1.211.4301_DIP,HN.5.1.1.211.4301
NA,NA
NA,NA
NA,NA
HN.5.1.1.211.4305_DIP,HN.5.1.1.211.4305
HN.5.1.1.211.4306_DIP,HN.5.1.1.211.4306
HN.5.1.1.211.4307_DIP,HN.5.1.1.211.4307
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.242.4448_DIP,HN.5.1.1.242.4448
HN.5.1.1.242.4449_DIP,HN.5.1.1.242.4449
HN.5.1.1.242.4450_DIP,HN.5.1.1.242.4450
NA,NA
HN.5.1.1.242.4452_DIP,HN.5.1.1.242.4452
HN.5.1.1.242.4453_DIP,HN.5.1.1.242.4453
HN.5.1.1.242.4454_DIP,HN.5.1.1.242.4454
HN.5.1.1.190.4198_DIP,HN.5.1.1.190.4198
HN.5.1.1.190.4199_DIP,HN.5.1.1.190.4199
HN.5.1.1.190.4200_DIP,HN.5.1.1.190.4200
NA,NA
HN.5.1.1.190.4202_DIP,HN.5.1.1.190.4202
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.190.4207_DIP,HN.5.1.1.190.4207
HN.5.1.1.190.4208_DIP,HN.5.1.1.190.4208
NA,NA
HN.5.1.1.190.4210_DIP,HN.5.1.1.190.4210
NA,NA
NA,NA
HN.5.1.1.190.4213_DIP,HN.5.1.1.190.4213
HN.5.1.1.190.4214_DIP,HN.5.1.1.190.4214
NA,NA
HN.5.1.1.190.4216_DIP,HN.5.1.1.190.4216
HN.5.1.1.190.4217_DIP,HN.5.1.1.190.4217
HN.5.1.1.190.4218_DIP,HN.5.1.1.190.4218
HN.5.1.1.190.4219_DIP,HN.5.1.1.190.4219
HN.5.1.1.190.4220_DIP,HN.5.1.1.190.4220
HN.5.1.1.190.4221_DIP,HN.5.1.1.190.4221
HN.5.1.1.190.4222_DIP,HN.5.1.1.190.4222
HN.5.1.1.190.4223_DIP,HN.5.1.1.190.4223
HN.5.1.1.190.4224_DIP,HN.5.1.1.190.4224
HN.5.1.1.190.4225_DIP,HN.5.1.1.190.4225
HN.5.1.1.190.4226_DIP,HN.5.1.1.190.4226
HN.5.1.1.190.4227_DIP,HN.5.1.1.190.4227
HN.5.1.1.190.4228_DIP,HN.5.1.1.190.4228
HN.5.1.1.190.4229_DIP,HN.5.1.1.190.4229
HN.5.1.1.233.4402_DIP,HN.5.1.1.233.4402
NA,NA
HN.5.1.1.233.4404_DIP,HN.5.1.1.233.4404
