JRV,PRESJRV
HN.5.1.1.150.4042_DIP,HN.5.1.1.150.4042
HN.5.1.1.150.4043_DIP,HN.5.1.1.150.4043
HN.5.1.1.150.4044_DIP,HN.5.1.1.150.4044
HN.5.1.1.150.4045_DIP,HN.5.1.1.150.4045
HN.5.1.1.150.4046_DIP,HN.5.1.1.150.4046
HN.5.1.1.150.4047_DIP,HN.5.1.1.150.4047
NA,NA
HN.5.1.1.150.4049_DIP,HN.5.1.1.150.4049
HN.5.1.1.150.4050_DIP,HN.5.1.1.150.4050
HN.5.1.1.150.4051_DIP,HN.5.1.1.150.4051
HN.5.1.1.150.4052_DIP,HN.5.1.1.150.4052
HN.5.1.1.150.4053_DIP,HN.5.1.1.150.4053
HN.5.1.1.150.4054_DIP,HN.5.1.1.150.4054
HN.5.1.1.150.4055_DIP,HN.5.1.1.150.4055
HN.5.1.1.275.4599_DIP,HN.5.1.1.275.4599
HN.5.1.1.275.4600_DIP,HN.5.1.1.275.4600
NA,NA
HN.5.1.1.275.4602_DIP,HN.5.1.1.275.4602
HN.5.1.1.275.4603_DIP,HN.5.1.1.275.4603
HN.5.1.1.275.4604_DIP,HN.5.1.1.275.4604
HN.5.1.1.275.4605_DIP,HN.5.1.1.275.4605
HN.5.1.1.275.4606_DIP,HN.5.1.1.275.4606
NA,NA
HN.5.1.1.275.4608_DIP,HN.5.1.1.275.4608
NA,NA
HN.5.1.1.275.4610_DIP,HN.5.1.1.275.4610
HN.5.1.1.275.4611_DIP,HN.5.1.1.275.4611
HN.5.1.1.275.4612_DIP,HN.5.1.1.275.4612
HN.5.1.1.275.4613_DIP,HN.5.1.1.275.4613
HN.5.1.1.275.4614_DIP,HN.5.1.1.275.4614
HN.5.1.1.275.4615_DIP,HN.5.1.1.275.4615
HN.5.1.1.275.4616_DIP,HN.5.1.1.275.4616
NA,NA
HN.5.1.1.275.4618_DIP,HN.5.1.1.275.4618
NA,NA
NA,NA
HN.5.1.1.116.3886_DIP,HN.5.1.1.116.3886
HN.5.1.1.116.3887_DIP,HN.5.1.1.116.3887
NA,NA
NA,NA
HN.5.1.1.116.3890_DIP,HN.5.1.1.116.3890
NA,NA
HN.5.1.1.116.3892_DIP,HN.5.1.1.116.3892
NA,NA
HN.5.1.1.86.3807_DIP,HN.5.1.1.86.3807
NA,NA
HN.5.1.1.34.3600_DIP,HN.5.1.1.34.3600
HN.5.1.1.34.3601_DIP,HN.5.1.1.34.3601
HN.5.1.1.34.3602_DIP,HN.5.1.1.34.3602
HN.5.1.1.34.3603_DIP,HN.5.1.1.34.3603
HN.5.1.1.34.3604_DIP,HN.5.1.1.34.3604
HN.5.1.1.34.3605_DIP,HN.5.1.1.34.3605
HN.5.1.1.34.3606_DIP,HN.5.1.1.34.3606
NA,NA
NA,NA
HN.5.1.1.62.3713_DIP,HN.5.1.1.62.3713
HN.5.1.1.62.3714_DIP,HN.5.1.1.62.3714
HN.5.1.1.62.3715_DIP,HN.5.1.1.62.3715
NA,NA
NA,NA
HN.5.1.1.62.3718_DIP,HN.5.1.1.62.3718
HN.5.1.1.62.3719_DIP,HN.5.1.1.62.3719
HN.5.1.1.62.3720_DIP,HN.5.1.1.62.3720
NA,NA
NA,NA
HN.5.1.1.62.3723_DIP,HN.5.1.1.62.3723
HN.5.1.1.62.3724_DIP,HN.5.1.1.62.3724
NA,NA
HN.5.1.1.62.3726_DIP,HN.5.1.1.62.3726
HN.5.1.1.156.4056_DIP,HN.5.1.1.156.4056
HN.5.1.1.156.4057_DIP,HN.5.1.1.156.4057
HN.5.1.1.156.4058_DIP,HN.5.1.1.156.4058
HN.5.1.1.156.4059_DIP,HN.5.1.1.156.4059
HN.5.1.1.156.4060_DIP,HN.5.1.1.156.4060
HN.5.1.1.156.4061_DIP,HN.5.1.1.156.4061
HN.5.1.1.156.4062_DIP,HN.5.1.1.156.4062
NA,NA
HN.5.1.1.156.4064_DIP,HN.5.1.1.156.4064
NA,NA
HN.5.1.1.156.4066_DIP,HN.5.1.1.156.4066
HN.5.1.1.156.4067_DIP,HN.5.1.1.156.4067
NA,NA
HN.5.1.1.156.4069_DIP,HN.5.1.1.156.4069
HN.5.1.1.156.4070_DIP,HN.5.1.1.156.4070
NA,NA
HN.5.1.1.115.3881_DIP,HN.5.1.1.115.3881
HN.5.1.1.115.3882_DIP,HN.5.1.1.115.3882
HN.5.1.1.115.3883_DIP,HN.5.1.1.115.3883
HN.5.1.1.122.3907_DIP,HN.5.1.1.122.3907
HN.5.1.1.122.3908_DIP,HN.5.1.1.122.3908
HN.5.1.1.122.3909_DIP,HN.5.1.1.122.3909
NA,NA
NA,NA
HN.5.1.1.122.3912_DIP,HN.5.1.1.122.3912
HN.5.1.1.122.3913_DIP,HN.5.1.1.122.3913
HN.5.1.1.122.3914_DIP,HN.5.1.1.122.3914
HN.5.1.1.122.3915_DIP,HN.5.1.1.122.3915
HN.5.1.1.122.3916_DIP,HN.5.1.1.122.3916
HN.5.1.1.122.3917_DIP,HN.5.1.1.122.3917
NA,NA
HN.5.1.1.122.3919_DIP,HN.5.1.1.122.3919
HN.5.1.1.312.4736_DIP,HN.5.1.1.312.4736
HN.5.1.1.312.4737_DIP,HN.5.1.1.312.4737
NA,NA
NA,NA
HN.5.1.1.312.4740_DIP,HN.5.1.1.312.4740
HN.5.1.1.312.4741_DIP,HN.5.1.1.312.4741
HN.5.1.1.312.4742_DIP,HN.5.1.1.312.4742
HN.5.1.1.312.4743_DIP,HN.5.1.1.312.4743
HN.5.1.1.312.4744_DIP,HN.5.1.1.312.4744
HN.5.1.1.312.4745_DIP,HN.5.1.1.312.4745
NA,NA
HN.5.1.1.312.4747_DIP,HN.5.1.1.312.4747
HN.5.1.1.312.4748_DIP,HN.5.1.1.312.4748
HN.5.1.1.312.4749_DIP,HN.5.1.1.312.4749
HN.5.1.1.312.4750_DIP,HN.5.1.1.312.4750
NA,NA
HN.5.1.1.312.4752_DIP,HN.5.1.1.312.4752
NA,NA
HN.5.1.1.312.4754_DIP,HN.5.1.1.312.4754
HN.5.1.1.312.4755_DIP,HN.5.1.1.312.4755
NA,NA
NA,NA
NA,NA
HN.5.1.1.312.4759_DIP,HN.5.1.1.312.4759
HN.5.1.1.312.4760_DIP,HN.5.1.1.312.4760
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.312.4766_DIP,HN.5.1.1.312.4766
HN.5.1.1.312.4767_DIP,HN.5.1.1.312.4767
NA,NA
NA,NA
NA,NA
HN.5.1.1.312.4771_DIP,HN.5.1.1.312.4771
HN.5.1.1.312.4772_DIP,HN.5.1.1.312.4772
NA,NA
HN.5.1.1.312.4774_DIP,HN.5.1.1.312.4774
HN.5.1.1.312.4775_DIP,HN.5.1.1.312.4775
NA,NA
HN.5.1.1.312.4777_DIP,HN.5.1.1.312.4777
HN.5.1.1.312.4778_DIP,HN.5.1.1.312.4778
HN.5.1.1.312.4779_DIP,HN.5.1.1.312.4779
HN.5.1.1.39.3630_DIP,HN.5.1.1.39.3630
HN.5.1.1.39.3631_DIP,HN.5.1.1.39.3631
HN.5.1.1.39.3632_DIP,HN.5.1.1.39.3632
NA,NA
HN.5.1.1.39.3634_DIP,HN.5.1.1.39.3634
HN.5.1.1.39.3635_DIP,HN.5.1.1.39.3635
HN.5.1.1.39.3636_DIP,HN.5.1.1.39.3636
HN.5.1.1.39.3637_DIP,HN.5.1.1.39.3637
HN.5.1.1.39.3638_DIP,HN.5.1.1.39.3638
NA,NA
NA,NA
HN.5.1.1.119.3894_DIP,HN.5.1.1.119.3894
HN.5.1.1.119.3895_DIP,HN.5.1.1.119.3895
HN.5.1.1.119.3896_DIP,HN.5.1.1.119.3896
HN.5.1.1.119.3897_DIP,HN.5.1.1.119.3897
NA,NA
HN.5.1.1.119.3899_DIP,HN.5.1.1.119.3899
