cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2040,KATHIA MARCELA CRIVELLI RAMIREZ,39566
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2041,SUYAPA MELISSA MEJIA MENENDEZ,37323
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2042,HARRY STEPHEN PANTING ZELAYA,35318
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2043,CLAUDIA IVETH AMAYA MARTEL,35432
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2044,ANGEL EDUARDO RAMOS SALINAS,35100
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2045,ELISA MARGARITA GOMEZ CASTRO,35497
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2046,MARLON GUILLERMO LARA ORELLANA,38199
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2047,JUAN CARLOS AVILA PACHECO,34223
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2048,AGUSTIN GUERRERO BERNARDEZ,34040
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2049,SEBASTIANA ARRIOLA GUITY,36588
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2050,GLORIA CAROLINA MILIAN VELASQUEZ,33058
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2051,ETNY SIMEI UYOA MARTINEZ,34846
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2052,ANA ROSA CARTAGENA CABRERA,33192
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2053,MOISES CANELAS WITHOL,34504
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2054,JOHNY ARMANDO ORTIZ ROSA,32812
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2055,RAFAEL TADEO NODARSE BANEGAS,34140
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2056,SANDRA TATIANA HERNANDEZ CUEVAS,32859
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2057,JACOBO ROBERTO SANCHEZ MARTINEZ,31481
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2058,SOFIA MICHELLE CANAHUATI MEJIA,31716
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,1.2059,PEDRO LUIS GARCIA CANACA,30246
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1900,NALDY AMALIA COTO PINEL,1908
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1901,GERMAN MARTINEZ TINOCO,1426
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1902,SANDRA LIZETH RIVAS MEJIA,1421
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1903,CRISTOBAL ROLANDO MEJIA VILLAFRANCA,1860
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1904,ASTRID JULIETH HERNANDEZ GARCIA,1338
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1905,ANGEL FRANCISCO LEIVA FLORES,1328
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1906,DUNIA DANIELA MORALES PERALTA,1500
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1907,DILIO OSMAN BAIDE LOPEZ,2148
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1908,ELBA LICETH HERNANDEZ PAVON,1398
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1909,CARLOS ALBERTO ESTRADA GOMEZ,1212
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1910,DANIA YAMILET MEMBREÑO AYALA,1341
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1911,PEDRO ANTONIO ESPINAL GOMEZ,1294
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1912,LILIAM CAROLINA ARAGON AGUILAR,1545
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1913,RENIERY AUGUSTO JIMENEZ DUBON,1841
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1914,SENIA MARILYN VILLANUEVA CARBAJAL,1059
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1915,JOSE WILFREDO DIAZ FLORES,1293
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1916,IRIS JANNETH FABIAN ANDINO,1323
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1917,CRISTHIAN ANDRES HERNANDEZ BANEGAS,1026
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1918,DELMIS MEJIA RIOS,1227
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,10.1919,JOSE EDUARDO COTO BARNICA,1712
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1860,YERSI PATRICIA KNIGHT GONZALEZ,1354
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1861,JOSE MANUEL ALFARO,1328
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1862,ERIKA ROXANA RAMOS CABALLERO,1321
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1863,JESUS VELEZ BANEGAS,2132
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1864,MAURA ESTHER ZELAYA LOPEZ,1075
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1865,NERY ISAC RODRIGUEZ ALFARO,1240
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1866,SILVIA JOHANA CHINCHILLA DIAZ,1469
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1867,RICARDO GONZALES OVIEDO,1548
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1868,LILIAN FILOMENA RIVERA GUZMAN,1214
DIP,HN.5,Distrito,CORTES,6506911,18482,60.7382,73.4035,6525393,2021-12-04 22:45:01,Candidato,11.1869,CESAR AUGUSTO LOPEZ MELGAR,956
