cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,8
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,29
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,6,PARTIDO ANTICORRUPCION,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,101
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),0
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Blanco,BLC,Voto en BLANCO,1
PRE,HN.5.1.1.251.4489_PRE,Mesa,4489_PRE,145,7,49.0066,100.0,152,2021-11-28 21:50:01,Especial,NUL,Votos NULOS,7
